FROM,FOLLOW_SYMBOLS,NEXT,ACCEPT,STACK,ERROR,RETURN
1,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,34.0,0,0,1,0
2,NUMERIC BOOL,35.0,0,0,0,0
3,if,36.0,0,0,0,0
4,foreach,38.0,0,0,0,0
5,equal,40.0,0,0,0,0
6,=,42.0,0,0,0,0
7,>,44.0,0,0,0,0
8,<,46.0,0,0,0,0
9,&,48.0,0,0,0,0
10,|,50.0,0,0,0,0
11,!,52.0,0,0,0,0
12,-,54.0,0,0,0,0
13,+,56.0,0,0,0,0
14,/,58.0,0,0,0,0
15,*,60.0,0,0,0,0
16,resolve,62.0,0,0,0,0
17,FUNCTION_NAME,64.0,0,0,1,0
18,(,66.0,0,0,0,0
19,", )",69.0,0,0,1,0
20,(,70.0,0,0,0,0
21,", )",75.0,0,0,1,0
22,(,76.0,0,0,0,0
23,", )",83.0,0,0,1,0
24,(,84.0,0,0,0,0
25,", )",89.0,0,0,1,0
26,(,90.0,0,0,0,0
27,", )",92.0,0,0,1,0
28,),93.0,0,0,0,0
29,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,94.0,0,0,1,0
30,),96.0,0,0,0,0
31,",",97.0,0,0,1,0
32,NUMERIC,100.0,0,0,0,0
33,BOOL,101.0,0,0,1,0
34,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,0,1,0
35,NUMERIC BOOL,32.0,0,0,1,0
36,if,37.0,1,0,1,0
37,( eps,22.0,0,0,1,0
38,foreach,39.0,1,0,1,0
39,( eps,20.0,0,0,1,0
40,equal,41.0,1,0,1,0
41,( eps,20.0,0,0,1,0
42,=,43.0,1,0,1,0
43,( eps,20.0,0,0,1,0
44,>,45.0,1,0,1,0
45,( eps,20.0,0,0,1,0
46,<,47.0,1,0,1,0
47,( eps,20.0,0,0,1,0
48,&,49.0,1,0,1,0
49,( eps,20.0,0,0,1,0
50,|,51.0,1,0,1,0
51,( eps,20.0,0,0,1,0
52,!,53.0,1,0,1,0
53,( eps,18.0,0,0,1,0
54,-,55.0,1,0,1,0
55,( eps,20.0,0,0,1,0
56,+,57.0,1,0,1,0
57,( eps,20.0,0,0,1,0
58,/,59.0,1,0,1,0
59,( eps,20.0,0,0,1,0
60,*,61.0,1,0,1,0
61,( eps,20.0,0,0,1,0
62,resolve,63.0,1,0,1,0
63,( eps,24.0,0,0,1,0
64,FUNCTION_NAME,65.0,1,0,1,0
65,( eps,26.0,0,0,1,0
66,(,67.0,1,0,1,0
67,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
68,),69.0,1,0,1,1
69,", )",,0,0,1,1
70,(,71.0,1,0,1,0
71,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
72,",",73.0,1,0,1,0
73,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
74,),75.0,1,0,1,1
75,", )",,0,0,1,1
76,(,77.0,1,0,1,0
77,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
78,",",79.0,1,0,1,0
79,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
80,",",81.0,1,0,1,0
81,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
82,),83.0,1,0,1,1
83,", )",,0,0,1,1
84,(,85.0,1,0,1,0
85,FUNCTION_NAME,86.0,1,0,1,0
86,",",87.0,1,0,1,0
87,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
88,),89.0,1,0,1,1
89,", )",,0,0,1,1
90,(,91.0,1,0,1,0
91,"FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / * eps ) ,",28.0,0,0,1,0
92,", )",,0,0,1,1
93,),,1,0,1,1
94,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
95,"eps , )",30.0,0,0,1,0
96,),,1,0,1,1
97,",",98.0,1,0,1,0
98,FUNCTION_NAME NUMERIC BOOL if foreach equal resolve + - = > < | & ! / *,2.0,0,1,1,0
99,"eps , )",30.0,0,0,1,0
100,NUMERIC,,1,0,1,1
101,BOOL,,1,0,1,1
