FROM,ACCEPT,STACK,ERROR,RETURN,NEXT,FOLLOW_SYMBOLS
1,False,False,True,False,34,"['FUNCTION_NAME', 'NUMERIC', 'BOOL', 'if', 'foreach', 'equal', 'resolve', 'SUM', 'DELTA', 'BEQUAL', 'LARGER', 'BIGGER', 'OR', 'AND', 'NOT', 'REMUT', 'MUT']"
2,False,False,False,False,35,"['NUMERIC', 'BOOL']"
3,False,False,False,False,36,['if']
4,False,False,False,False,38,['foreach']
5,False,False,False,False,40,['equal']
6,False,False,False,False,42,['BEQUAL']
7,False,False,False,False,44,['LARGER']
8,False,False,False,False,46,['BIGGER']
9,False,False,False,False,48,['AND']
10,False,False,False,False,50,['OR']
11,False,False,False,False,52,['NOT']
12,False,False,False,False,54,['DELTA']
13,False,False,False,False,56,['SUM']
14,False,False,False,False,58,['REMUT']
15,False,False,False,False,60,['MUT']
16,False,False,False,False,62,['resolve']
17,False,False,True,False,64,['FUNCTION_NAME']
18,False,False,False,False,66,['LPAR']
19,False,False,True,False,69,"['SEPARATOR', 'RPAR']"
20,False,False,False,False,70,['LPAR']
21,False,False,True,False,75,"['SEPARATOR', 'RPAR']"
22,False,False,False,False,76,['LPAR']
23,False,False,True,False,83,"['SEPARATOR', 'RPAR']"
24,False,False,False,False,84,['LPAR']
25,False,False,True,False,89,"['SEPARATOR', 'RPAR']"
26,False,False,False,False,90,['LPAR']
27,False,False,True,False,92,"['SEPARATOR', 'RPAR']"
28,False,False,False,False,93,['RPAR']
29,False,False,True,False,94,"['FUNCTION_NAME', 'NUMERIC', 'BOOL', 'if', 'foreach', 'equal', 'resolve', 'SUM', 'DELTA', 'BEQUAL', 'LARGER', 'BIGGER', 'OR', 'AND', 'NOT', 'REMUT', 'MUT']"
30,False,False,False,False,96,['RPAR']
31,False,False,True,False,97,['SEPARATOR']
32,False,False,False,False,100,['NUMERIC']
33,False,False,True,False,101,['BOOL']
